paper_id,claim_id,table_figure,claim_type,claim,value_script,value_paper,match,value_rewrite,match_rewrite,defect_locus,notes
coppock_hill_vavreck_2020,title_n_experiments,Title,pipeline,Advertisement-week experiments,59,59,1,59,1,NA,The article prints 59 and the pipeline gives 59.
coppock_hill_vavreck_2020,abstract_n_ads,Abstract,pipeline,Distinct campaign advertisements tested,49,49,1,49,1,NA,"The article prints 49 and the pipeline gives 49. Excludes ad_id 3, the placebo car insurance advertisement."
coppock_hill_vavreck_2020,abstract_n_experiments,Abstract,pipeline,Advertisement-week experiments,59,59,1,59,1,NA,The article prints 59 and the pipeline gives 59.
coppock_hill_vavreck_2020,abstract_n_respondents,Abstract,pipeline,Respondents completing a survey,34000,34000,1,34000,1,NA,The article prints 34000 and the pipeline gives 34000.
coppock_hill_vavreck_2020,intro_months_span,Introduction,pipeline,Months spanned by the fielding period,7.819301848049282,8,1,7.819301848049282,1,NA,"The article prints 8 and the pipeline gives 8. 14 March to 7 November 2016, in months of 30.4375 days."
coppock_hill_vavreck_2020,intro_n_ads,Introduction,pipeline,Distinct campaign advertisements tested,49,49,1,49,1,NA,The article prints 49 and the pipeline gives 49.
coppock_hill_vavreck_2020,intro_n_ads_multiweek,Introduction,pipeline,"Distinct campaign advertisements, restated",49,49,1,49,1,NA,The article prints 49 and the pipeline gives 49.
coppock_hill_vavreck_2020,intro_fav_ate,Introduction,pipeline,Pooled favorability effect (scale points),0.04922782972267647,0.05,1,0.04922782972267647,1,NA,The article prints 0.05 and the pipeline gives 0.05.
coppock_hill_vavreck_2020,intro_fav_sd,Introduction,pipeline,SD of favorability effects across experiments (scale points),0.06818561415005112,0.07,1,0.06818561415005112,1,NA,The article prints 0.07 and the pipeline gives 0.07. The SD across experiments is the tau of Table S2.
coppock_hill_vavreck_2020,intro_vc_ate,Introduction,pipeline,Pooled vote choice effect (percentage points),0.718114897405215,0.7,1,0.718114897405215,1,NA,The article prints 0.7 and the pipeline gives 0.7.
coppock_hill_vavreck_2020,intro_vc_sd,Introduction,pipeline,SD of vote choice effects (percentage points),2.2186653517171933,2,1,2.2186653517171933,1,NA,The article prints 2 and the pipeline gives 2.
coppock_hill_vavreck_2020,desc_effects_exclude_large,Introduction,descriptive,Weekly estimates exclude large persuasive effects,NA,NA,NA,NA,NA,NA,"The sentence sets no threshold, so no verdict is computed. Weekly SATEs run from -0.521 to 0.432 on the five-point favorability scale and from -0.084 to 0.097 on vote choice"
coppock_hill_vavreck_2020,methods_n_weeks,Materials and Methods,pipeline,Weeks of fielding,29,29,1,29,1,NA,The article prints 29 and the pipeline gives 29.
coppock_hill_vavreck_2020,methods_weekly_n_small,Materials and Methods,pipeline,Smallest weekly sample,1000,1000,1,1000,1,NA,The article prints 1000 and the pipeline gives 1000.
coppock_hill_vavreck_2020,methods_weekly_n_large,Materials and Methods,pipeline,Largest weekly sample,2000,2000,1,2000,1,NA,The article prints 2000 and the pipeline gives 2000.
coppock_hill_vavreck_2020,methods_attrition_rate,Materials and Methods,pipeline,Share starting but not finishing (%),42.44506889663811,42,1,42.44506889663811,1,NA,The article prints 42 and the pipeline gives 42.
coppock_hill_vavreck_2020,methods_n_attrition_tests,Materials and Methods,pipeline,Attrition tests conducted,29,29,1,29,1,NA,The article prints 29 and the pipeline gives 29.
coppock_hill_vavreck_2020,methods_n_sig_unadjusted,Materials and Methods,pipeline,Attrition tests significant unadjusted,3,3,1,3,1,NA,The article prints 3 and the pipeline gives 3.
coppock_hill_vavreck_2020,methods_n_sig_holm,Materials and Methods,pipeline,Attrition tests significant after Holm,0,0,1,0,1,NA,The article prints 0 and the pipeline gives 0.
coppock_hill_vavreck_2020,methods_n_sig_benjamini_hochberg,Materials and Methods,pipeline,Attrition tests significant after Benjamini-Hochberg,0,0,1,0,1,NA,The article prints 0 and the pipeline gives 0.
coppock_hill_vavreck_2020,methods_n_deployments_anti_trump,Materials and Methods,pipeline,Anti-Trump advertisement deployments,30,30,1,30,1,NA,"The article prints 30 and the pipeline gives 30. The main text counts advertisement-week deployments, not distinct advertisements; the distinct counts are 24, 11, 6 and 3."
coppock_hill_vavreck_2020,methods_n_deployments_anti_clinton,Materials and Methods,pipeline,Anti-Clinton advertisement deployments,11,11,1,11,1,NA,The article prints 11 and the pipeline gives 11.
coppock_hill_vavreck_2020,methods_n_deployments_pro_clinton,Materials and Methods,pipeline,Pro-Clinton advertisement deployments,8,8,1,8,1,NA,The article prints 8 and the pipeline gives 8.
coppock_hill_vavreck_2020,methods_n_deployments_pro_trump,Materials and Methods,pipeline,Pro-Trump advertisement deployments,3,3,1,3,1,NA,The article prints 3 and the pipeline gives 3.
coppock_hill_vavreck_2020,methods_manip_control_min,Materials and Methods,pipeline,"Control group manipulation check, minimum (%)",1.5625,2,1,1.5625,1,NA,The article prints 2 and the pipeline gives 2. Minimum across the ten waves in which the question was asked.
coppock_hill_vavreck_2020,methods_manip_control_max,Materials and Methods,pipeline,"Control group manipulation check, maximum (%)",4.014598540145984,4,1,4.014598540145984,1,NA,The article prints 4 and the pipeline gives 4.
coppock_hill_vavreck_2020,methods_manip_treated_min,Materials and Methods,pipeline,"Treatment group manipulation check, minimum (%)",91.4156626506024,92,0,91.4156626506024,0,paper_internal,"The article prints 92 and the pipeline gives 91. Unweighted, as in the deposited code. Weighting by the survey weights widens the range to 90.2 to 95.9 per cent."
coppock_hill_vavreck_2020,methods_manip_treated_max,Materials and Methods,pipeline,"Treatment group manipulation check, maximum (%)",95.5431754874652,95,0,95.5431754874652,0,paper_internal,The article prints 95 and the pipeline gives 96.
coppock_hill_vavreck_2020,methods_single_study_n,Materials and Methods,pipeline,Respondents in a single weekly study,1000,1000,1,1000,1,NA,The article prints 1000 and the pipeline gives 1000.
coppock_hill_vavreck_2020,results_n_experiments,Results,pipeline,Experimental comparisons plotted in Figure 1,59,59,1,59,1,NA,The article prints 59 and the pipeline gives 59.
coppock_hill_vavreck_2020,results_fav_meta_estimate,Results,pipeline,Pooled favorability effect (scale points),0.04922782972267647,0.049,1,0.04922782972267647,1,NA,The article prints 0.049 and the pipeline gives 0.049.
coppock_hill_vavreck_2020,desc_fav_meta_significant,Results,descriptive,The pooled favorability effect is statistically significant,1,NA,1,1,1,NA,"The pipeline supports this claim. Pooled favorability effect 0.0492 with a 95 per cent interval of [0.0100, 0.0884]"
coppock_hill_vavreck_2020,results_vc_meta_estimate,Results,pipeline,Pooled vote choice effect (percentage points),0.718114897405215,0.7,1,0.718114897405215,1,NA,The article prints 0.7 and the pipeline gives 0.7.
coppock_hill_vavreck_2020,desc_vc_meta_not_significant,Results,descriptive,The pooled vote choice effect is not statistically significant,1,NA,1,1,1,NA,"The pipeline supports this claim. Pooled vote choice effect 0.0072 with a 95 per cent interval of [-0.0072, 0.0215]"
coppock_hill_vavreck_2020,results_fav_homogeneity_p,Results,pipeline,Favorability SATE homogeneity p-value,0.09190442047183715,0.09,1,0.09190442047183715,1,NA,The article prints 0.09 and the pipeline gives 0.09.
coppock_hill_vavreck_2020,results_vc_homogeneity_p,Results,pipeline,Vote choice SATE homogeneity p-value,0.06995209824068573,0.07,1,0.06995209824068573,1,NA,The article prints 0.07 and the pipeline gives 0.07.
coppock_hill_vavreck_2020,desc_large_negative_early_may,Results,descriptive,Largest significant negative favorability estimate in May,-0.5209436030694634,-0.5,1,-0.5209436030694634,1,NA,"The article prints -0.5 and the pipeline gives -0.5. Unifier, week of 2016-05-09, -0.521 [-0.906, -0.136]"
