outcome_variable,respondent_pid,ad_type,estimate,std.error,conf.low,conf.high,p.value,tau2,tau,se_entry
Favorability,Democratic respondents,pro-Democratic ad,0.10647657362070719,0.02745781870615061,0.05266023786262181,0.16029290937879256,0.18284074692649577,0.0073694625600742025,0.08584557391079753,0.106 (0.027)
Favorability,Democratic respondents,pro-Republican ad,-0.026383330984545067,0.049431984444535344,-0.12326824018017853,0.07050157821108839,0.3414006445443067,0.006288138049769759,0.07929778086283222,-0.026 (0.049)
Favorability,Independent respondents,pro-Democratic ad,0.06999327365944065,0.06782033423093253,-0.0629321388526561,0.2029186861715374,0.0014503505999802332,0.12601556013610718,0.35498670416806766,0.070 (0.068)
Favorability,Independent respondents,pro-Republican ad,0.012109939483196363,0.08717368634083936,-0.15874734614444,0.18296722511083272,0.21466536764995403,0.03878869046207381,0.1969484462037561,0.012 (0.087)
Favorability,Republican respondents,pro-Democratic ad,0.038659539617906524,0.03565816016712494,-0.031229170064619102,0.10854824930043215,0.05146389705290539,0.020778136657542832,0.14414623358777998,0.039 (0.036)
Favorability,Republican respondents,pro-Republican ad,0.048019666522728606,0.03892303152077824,-0.028268073427114022,0.12430740647257124,0.051481774819980376,0.013212684420236542,0.11494644152924675,0.048 (0.039)
Vote choice,Democratic respondents,pro-Democratic ad,0.02717592777428139,0.00801715594366605,0.011462590866254705,0.04288926468230808,0.41108965838784134,8.761753674490443e-5,0.009360423961814145,0.027 (0.008)
Vote choice,Democratic respondents,pro-Republican ad,-0.023396092643627967,0.014786028378805428,-0.05237617574047376,0.005583990453217832,0.7413933875851988,0,0,-0.023 (0.015)
Vote choice,Independent respondents,pro-Democratic ad,0.005062657493554597,0.023747588668429482,-0.04148176101623868,0.05160707600334788,0.5110724486482047,0,0,0.005 (0.024)
Vote choice,Independent respondents,pro-Republican ad,0.027162731437224745,0.02914585034552123,-0.02996208553879115,0.08428754841324064,0.7756661915999766,0,0,0.027 (0.029)
Vote choice,Republican respondents,pro-Democratic ad,0.006990923201462469,0.013935663086374438,-0.02032247454851572,0.034304320951440655,0.010853734450004399,0.0026666286346068635,0.05163940970428364,0.007 (0.014)
Vote choice,Republican respondents,pro-Republican ad,-0.002166085148887077,0.00912830313876472,-0.020057230540829855,0.0157250602430557,0.1850858378693336,3.885390951110349e-4,0.01971139505745433,-0.002 (0.009)
