model,term,estimate,std.error,statistic,p.value,conf.low,conf.high,nobs
Candidate favorability (1),intrcpt,0.05595137462966907,0.020309109451168223,2.754989073459872,0.005869409556048239,0.016146251547297333,0.09575649771204081,354
Candidate favorability (1),date_d,-0.02300941662841814,0.01405634018350107,-1.6369422145478476,0.10164254421986747,-0.05055933714252337,0.0045405038856870875,354
Candidate favorability (1),general_d,0.12262429839610452,0.06690221321384027,1.8328885175167398,0.06681915169261357,-0.008501629989042095,0.25375022678125114,354
Candidate favorability (1),attack_d,-0.017101374330807426,0.04623707391558494,-0.36986281532497967,0.7114847088330207,-0.10772437395587027,0.07352162529425542,354
Candidate favorability (1),democrat_d,0.03523921631093597,0.034682241962525166,1.0160593524782113,0.30960112380813537,-0.03273672883871711,0.10321516146058904,354
Candidate favorability (1),independent_d,0.02309941684035236,0.05149081728324465,0.4486123557387973,0.6537113190573356,-0.07782073056933969,0.12401956425004443,354
Candidate favorability (1),battleground_d,-0.007680871819798603,0.03309933099976039,-0.23205519833177915,0.8164951416286038,-0.0725543684916991,0.05719262485210189,354
Candidate favorability (1),pac_d,-0.012494727577872275,0.04263087844760822,-0.29309101836190954,0.7694525817870213,-0.09604971396448918,0.07106025880874463,354
Candidate favorability (2),intrcpt,0.061955787180222495,0.02045502731032077,3.028878243001032,0.0024546358899146556,0.02186467034921058,0.10204690401123441,354
Candidate favorability (2),date_d,0.004556232114517906,0.010101046883403868,0.45106533680225225,0.6519424595388598,-0.015241455983104231,0.024353920212140043,354
Candidate favorability (2),pro_sanders_d,-0.07492440968189677,0.08853005507680951,-0.8463160857280801,0.39737643663632766,-0.24844012918179076,0.09859130981799723,354
Candidate favorability (2),pro_trump_d,-0.12383690151390862,0.10111867542887645,-1.2246689445710888,0.2206999796119193,-0.3220258635189018,0.07435206049108452,354
Candidate favorability (2),pro_cruz_d,0.047069491922339904,0.1161938055683448,0.40509467516023295,0.6854079204052168,-0.18066618221826547,0.27480516606294525,354
Candidate favorability (2),pro_kasich_d,-0.18177785890921322,0.14476493785976025,-1.2556760055070029,0.20923346212964075,-0.4655119233385222,0.10195620552009577,354
Candidate favorability (2),anti_clinton_d,-0.10506738546567478,0.06988860906075989,-1.503354936915844,0.13274754047014536,-0.24204654215436383,0.03191177122301429,354
Candidate favorability (2),anti_trump_d,-0.04136769501090476,0.05790668753051631,-0.7143854496789227,0.4749888667562111,-0.15486271703473137,0.07212732701292184,354
Candidate favorability (2),democrat_d,0.02176162194014391,0.03610692357071981,0.6026994212763965,0.5467086666300673,-0.049006647851007286,0.09252989173129511,354
Candidate favorability (2),independent_d,0.014879526457291816,0.05182146533086733,0.28713056186832414,0.7740123519865098,-0.08668867921729917,0.11644773213188281,354
Candidate favorability (2),battleground_d,-0.00728897411725834,0.03312453083662412,-0.22004761828050676,0.8258340694230012,-0.07221186156182804,0.05763391332731136,354
Candidate favorability (2),pac_d,0.02568930896046775,0.046985181519741875,0.5467534258577635,0.5845481442388738,-0.06639995462530324,0.11777857254623875,354
Vote choice (3),intrcpt,0.007173439173123305,0.007144202583959308,1.0040923516404254,0.31533410163523573,-0.006828940589694928,0.02117581893594154,204
Vote choice (3),date_d,-0.009377632978313975,0.00379382342908776,-2.4718158748281187,0.01344287332313883,-0.016813390263030234,-0.0019418756935977183,204
Vote choice (3),attack_d,0.02796005024018373,0.016355854790261817,1.7094826653041078,0.08736158000608359,-0.00409683608509635,0.06001693656546381,204
Vote choice (3),democrat_d,0.010806619726570987,0.010032366314141016,1.0771755524256157,0.2814018450391556,-0.008856456928858253,0.030469696382000228,204
Vote choice (3),independent_d,0.008827568396014927,0.019698900733103104,0.44812492410708993,0.6540630411867441,-0.02978156757589682,0.04743670436792667,204
Vote choice (3),battleground_d,-0.016973778135581416,0.009821442271420847,-1.7282368176182188,0.08394577542091021,-0.03622345126380554,0.0022758949926427047,204
Vote choice (3),pac_d,-0.023149409593185805,0.012834955972187647,-1.803622049296373,0.07129057707360102,-0.048305461041830866,0.0020066418554592555,204
Vote choice (4),intrcpt,0.0076134087929204276,0.007217764703564159,1.054815321031579,0.29150979610816935,-0.006533150074949742,0.021759967660790597,204
Vote choice (4),date_d,-0.007745419262724521,0.0042698577683075315,-1.813975940888218,0.06968142988738232,-0.016114186707715854,6.233481822668103e-4,204
Vote choice (4),pro_trump_d,-0.015772712672273773,0.03377671393878263,-0.46697001670619737,0.6405213299347641,-0.08197385550839975,0.050428430163852206,204
Vote choice (4),anti_clinton_d,0.011568738517908099,0.022967572584210054,0.5036987899131089,0.6144730588506627,-0.03344687655945314,0.05658435359526934,204
Vote choice (4),anti_trump_d,0.026101433386131086,0.021409158381535558,1.2191713901580739,0.22277914833562043,-0.015859745980992435,0.0680626127532546,204
Vote choice (4),democrat_d,0.006076244248238461,0.011190145905599563,0.542999555099447,0.5871301087547154,-0.01585603870848503,0.02800852720496195,204
Vote choice (4),independent_d,0.006629596114327088,0.019921604804809357,0.3327842399888693,0.7392971555097447,-0.03241603181733934,0.04567522404599352,204
Vote choice (4),battleground_d,-0.017005404218429457,0.009967902519312729,-1.70601630438115,0.08800504398753549,-0.03654213415768848,0.00253132572082956,204
Vote choice (4),pac_d,-0.015664999840332105,0.014426870685098715,-1.085821047561772,0.27755817257288,-0.043941146792742275,0.012611147112078069,204
