date_formatted,Ad 1,Ad 2,Ad 3
March 14,"Anti Trump: ""Man of People""","Anti Trump: ""Plain Wrong""","Anti Trump: ""Scam"""
March 21,"Anti Trump: ""Quotes""","Pro Clinton: ""Real Life""",NA
March 28,"Pro Clinton: ""All the Good""","Pro Sanders: ""America""",NA
April 05,"Anti Trump: ""Quotes""","Pro Clinton: ""Real Life""",NA
April 11,"Pro Sanders: ""Erica""","Pro Clinton: ""I'm with him""",NA
April 18,"Pro Cruz: ""Math""","Pro Kasich: ""Suggest""",NA
April 25,"Pro Trump: ""Broken""","Pro Cruz: ""Not Easy""",NA
May 09,"Anti Trump: ""Harrassment""","Anti Trump: ""Unifier""",NA
May 16,"Pro Sanders: ""America""","Pro Clinton: ""Love/Kindness""",NA
May 23,"Anti Trump: ""Quotes""","Anti Trump: ""Speak""",NA
May 30,"Pro Sanders: ""America""","Pro Clinton: ""Love/Kindness""",NA
June 06,"Anti Trump: ""Extreme Makeover""","Anti Trump: ""Grace""",NA
June 20,"Pro Clinton: ""Moments""","Anti Trump: ""Speak""",NA
July 04,"Anti Clinton: ""Stop Clinton""","Anti Trump: ""Tested""",NA
July 18,"Anti Trump: ""Role Model""","Anti Clinton: ""Same Old""",NA
August 01,"Anti Clinton: ""Outsource""","Anti Trump: ""Someplace""",NA
August 15,"Anti Trump: ""Role Model""","Anti Trump: ""Unfit""",NA
August 22,"Anti Clinton: ""2 Americas: Immigration""","Pro Clinton: ""Depend""",NA
August 29,"Anti Clinton: ""2 Americas: Economy""","Anti Trump: ""Everything""",NA
September 05,"Anti Trump: ""Sacrifice""",NA,NA
September 12,"Anti Trump: ""Agree""","Anti Clinton: ""Deplorables""",NA
September 19,"Anti Trump: ""Families""","Pro Trump: ""Movement""",NA
September 26,"Anti Clinton: ""Defenseless""","Anti Trump: ""Mirrors""",NA
October 03,"Anti Clinton: ""50-pts?""","Anti Trump: ""Arrogant""",NA
October 10,"Anti Trump: ""Mirrors""","Anti Trump: ""Quotes""",NA
October 17,"Anti Trump: ""America's Bullies""","Anti Clinton: ""Change""",NA
October 24,"Anti Trump: ""Captain Khan""","Anti Clinton: ""Laura""",NA
October 31,"Pro Trump: ""Consumer Benefit""","Anti Trump: ""Example""",NA
November 07,"Anti Trump: ""Daughters""","Anti Clinton: ""Unfit to Serve""",NA
