date_formatted,Control,Pro Clinton,Anti Clinton,Pro Trump,Anti Trump,Pro Cruz,Pro Kasich,Pro Sanders,Two Ads,Total
March 14,268,NA,NA,NA,732,NA,NA,NA,NA,1000
March 21,260,249,NA,NA,253,NA,NA,NA,238,1000
March 28,253,264,NA,NA,NA,NA,NA,241,242,1000
April 05,251,249,NA,NA,255,NA,NA,NA,245,1000
April 11,255,252,NA,NA,NA,NA,NA,243,250,1000
April 18,250,NA,NA,NA,NA,252,250,NA,248,1000
April 25,207,NA,NA,189,NA,207,NA,NA,397,1000
May 09,198,NA,NA,NA,411,NA,NA,NA,391,1000
May 16,204,211,NA,NA,NA,NA,NA,189,396,1000
May 23,201,NA,NA,NA,414,NA,NA,NA,385,1000
May 30,206,198,NA,NA,NA,NA,NA,207,389,1000
June 06,200,NA,NA,NA,404,NA,NA,NA,396,1000
June 20,664,663,NA,NA,673,NA,NA,NA,NA,2000
July 04,665,NA,674,NA,661,NA,NA,NA,NA,2000
July 18,678,NA,648,NA,674,NA,NA,NA,NA,2000
August 01,683,NA,649,NA,668,NA,NA,NA,NA,2000
August 15,657,NA,NA,NA,1343,NA,NA,NA,NA,2000
August 22,340,317,343,NA,NA,NA,NA,NA,NA,1000
August 29,334,NA,333,NA,333,NA,NA,NA,NA,1000
September 05,338,NA,NA,NA,662,NA,NA,NA,NA,1000
September 12,337,NA,336,NA,327,NA,NA,NA,NA,1000
September 19,321,NA,NA,342,337,NA,NA,NA,NA,1000
September 26,262,NA,255,NA,242,NA,NA,NA,241,1000
October 03,246,NA,255,NA,244,NA,NA,NA,255,1000
October 10,331,NA,NA,NA,669,NA,NA,NA,NA,1000
October 17,256,NA,245,NA,248,NA,NA,NA,251,1000
October 24,235,NA,259,NA,245,NA,NA,NA,261,1000
October 31,275,NA,NA,233,250,NA,NA,NA,242,1000
November 07,267,NA,243,NA,240,NA,NA,NA,250,1000
Total,9642,2403,4240,764,10285,459,250,880,5077,34000
