claim,value
n_respondents,34000
n_weeks,29
n_unique_ads,49
n_ad_week_deployments,59
n_ads_fielded_more_than_once,7
n_unique_ads_anti_clinton,11
n_unique_ads_anti_trump,24
n_unique_ads_pro_clinton,6
n_unique_ads_pro_cruz,2
n_unique_ads_pro_kasich,1
n_unique_ads_pro_sanders,2
n_unique_ads_pro_trump,3
n_deployments_anti_clinton,11
n_deployments_anti_trump,30
n_deployments_pro_clinton,8
n_deployments_pro_cruz,2
n_deployments_pro_kasich,1
n_deployments_pro_sanders,4
n_deployments_pro_trump,3
manip_check_control_min,0.015625
manip_check_control_max,0.04014598540145985
manip_check_treated_min,0.9141566265060241
manip_check_treated_max,0.9554317548746519
attrition_rate,0.42445068896638116
n_attrition_tests,29
n_sig_unadjusted,3
n_sig_holm,0
n_sig_benjamini_hochberg,0
