file,dataverse_file_id,file_persistent_id,bytes,md5_served,md5_published,unf,served_as
ad_df.csv,3988290,doi:10.7910/DVN/TN7KWR/LEPSGP,1911,4e6da05b8931fc8ac5f51b890f7bc03c,4e6da05b8931fc8ac5f51b890f7bc03c,UNF:6:1jwx5QsJ5hxwDZBlC5gWIQ==,ad_df.tab
estimate_favorability_cates.R,3988287,doi:10.7910/DVN/TN7KWR/2ZI4IZ,5117,8c24202512d776868b6fafe99689eef8,8c24202512d776868b6fafe99689eef8,,estimate_favorability_cates.R
estimate_favorability_sates.R,3988286,doi:10.7910/DVN/TN7KWR/DTLELW,3408,29f8f7d0246b7823d8d9d3bb371909ba,29f8f7d0246b7823d8d9d3bb371909ba,,estimate_favorability_sates.R
estimate_vote_choice_cates.R,3988302,doi:10.7910/DVN/TN7KWR/UFSO7Y,4299,756fef31fe6a46db8f163fc4cbead61d,756fef31fe6a46db8f163fc4cbead61d,,estimate_vote_choice_cates.R
estimate_vote_choice_sates.R,3988288,doi:10.7910/DVN/TN7KWR/CI25TP,2936,403679736b4b2017b620a7a50aa57e89,403679736b4b2017b620a7a50aa57e89,,estimate_vote_choice_sates.R
exps.rds,3988293,doi:10.7910/DVN/TN7KWR/XXEXIZ,7677293,a6ed9896d61b71a33ddf6ff0cca332d8,a6ed9896d61b71a33ddf6ff0cca332d8,,exps.rds
exps_with_incompletes.rds,3988294,doi:10.7910/DVN/TN7KWR/ZAAERT,1418242,8b20a83de22f0548b48f14a01530f023,8b20a83de22f0548b48f14a01530f023,,exps_with_incompletes.rds
favorability_cates.rds,3988303,doi:10.7910/DVN/TN7KWR/QFBCDC,199241,33a4c4f9b6b81d526a78ccae19300cff,33a4c4f9b6b81d526a78ccae19300cff,,favorability_cates.rds
favorability_sates.rds,3988299,doi:10.7910/DVN/TN7KWR/YJ2I4Z,24592,27ec3eef77ac29ff0773c5b21a1beb8b,27ec3eef77ac29ff0773c5b21a1beb8b,,favorability_sates.rds
figure_1.R,3988292,doi:10.7910/DVN/TN7KWR/RMGXIH,2543,c62d33fc3428532e8cf769585eb1862c,c62d33fc3428532e8cf769585eb1862c,,figure_1.R
figure_2.R,3988300,doi:10.7910/DVN/TN7KWR/RX6LEV,1844,271f2f9e153dbb5c3a6d49e53540824c,271f2f9e153dbb5c3a6d49e53540824c,,figure_2.R
figure_S1.R,3988283,doi:10.7910/DVN/TN7KWR/0KGHDX,3707,6e9428ff3b261a59388ee644c4a17e6a,6e9428ff3b261a59388ee644c4a17e6a,,figure_S1.R
helpers.R,3988298,doi:10.7910/DVN/TN7KWR/9DJQW8,2377,338f9264b8d9053d43b7717579e0ba5d,338f9264b8d9053d43b7717579e0ba5d,,helpers.R
in_text_numbers.R,3988289,doi:10.7910/DVN/TN7KWR/HNIDOU,1734,7ed59f112ebaf6fcbbf983ce14887531,7ed59f112ebaf6fcbbf983ce14887531,,in_text_numbers.R
README.txt,3988291,doi:10.7910/DVN/TN7KWR/HLOXFP,3325,67bedd2d4745c99aa7edb4597512d90c,67bedd2d4745c99aa7edb4597512d90c,,README.txt
table_1.R,3988284,doi:10.7910/DVN/TN7KWR/VWAFMF,3275,d4dd9a2c3a3764c4b25bd3dfd2961cc2,d4dd9a2c3a3764c4b25bd3dfd2961cc2,,table_1.R
table_S1.R,3988297,doi:10.7910/DVN/TN7KWR/J8NMV1,1150,e1bc632c3cfe001c800124fe4d2af32a,e1bc632c3cfe001c800124fe4d2af32a,,table_S1.R
table_S2.R,3988285,doi:10.7910/DVN/TN7KWR/8VHYYF,1514,4d3bb72bb2fd5af0700056f1c54ce391,4d3bb72bb2fd5af0700056f1c54ce391,,table_S2.R
table_S3.R,3988295,doi:10.7910/DVN/TN7KWR/C4AW7O,1043,d88e754f255b6f740c0b5a9da7ddb407,d88e754f255b6f740c0b5a9da7ddb407,,table_S3.R
vote_choice_cates.rds,3988296,doi:10.7910/DVN/TN7KWR/916QPW,109690,21ac379cc77f48b0af8d17905f0b595e,21ac379cc77f48b0af8d17905f0b595e,,vote_choice_cates.rds
vote_choice_sates.rds,3988301,doi:10.7910/DVN/TN7KWR/RTAPU6,14550,936de508f26f63593562bbb9ab53e682,936de508f26f63593562bbb9ab53e682,,vote_choice_sates.rds
